Postcode,Longtitude,Latitude
2307,151.7,-32.9
2308,151.7,-32.9
2309,151.2,-33.5
2314,151.8,-32.8
2315,152.2,-32.7
2316,152.2,-32.7
2317,152.2,-32.7
2318,152.2,-32.7
2319,152.2,-32.7
2426,152.6,-31.8
2427,152.7,-31.8
2428,152.5,-32.2
2429,152.3,-31.8
2430,152.5,-31.9
2439,152.7,-31.7
2443,152.7,-31.7
2444,152.9,-31.4
2446,152.5,-31.4
5000,138.6,-34.9
5005,138.6,-34.9
5006,138.6,-34.9
5007,138.6,-34.9
5008,138.6,-34.9
5009,138.5,-34.9
5010,138.6,-34.9
5011,138.5,-34.9
5012,138.5,-34.9
5013,138.6,-34.8
5014,138.5,-34.9
5015,138.5,-34.8
5016,138.5,-34.8
5017,138.5,-34.8
5018,138.5,-34.8
5019,138.5,-34.8
5020,138.5,-34.9
5021,138.5,-34.9
5022,138.5,-34.9
5023,138.5,-34.9
5024,138.5,-34.9
5025,138.5,-34.9
5031,138.6,-34.9
5032,138.5,-34.9
5033,138.6,-34.9
5034,138.6,-35
5035,138.6,-35
5037,138.5,-35
5038,138.5,-35
5039,138.6,-35
5040,138.5,-35
5041,138.6,-35
5042,138.6,-35
5043,138.6,-35
5044,138.5,-35
5045,138.5,-35
5046,138.5,-35
5047,138.5,-35
5048,138.5,-35
5049,138.5,-35
5050,138.6,-35
5051,138.6,-35
5052,138.6,-35
5061,138.6,-35
5062,138.6,-35
5063,138.6,-35
5064,138.6,-35
5065,138.6,-34.9
5066,138.7,-34.9
5067,138.6,-34.9
5068,138.7,-34.9
5069,138.6,-34.9
5070,138.6,-34.9
5072,138.7,-34.9
5073,138.7,-34.9
5092,138.7,-34.8
5093,138.7,-34.8
5094,138.6,-34.8
5095,138.6,-34.8
5096,138.6,-34.8
5097,138.7,-34.8
5098,138.6,-34.8
5106,138.6,-34.8
5107,138.6,-34.8
5108,138.6,-34.8
5109,138.7,-34.8
5110,138.6,-34.7
5111,138.6,-34.7
5112,138.7,-34.7
5113,138.7,-34.7
5114,138.8,-34.7
5115,138.7,-34.7
5116,138.7,-34.6
5117,138.6,-34.6
5118,138.7,-34.6
5120,138.5,-34.7
5121,138.6,-34.7
5125,138.7,-34.8
5126,138.7,-34.8
5127,138.7,-34.8
5131,138.8,-34.8
5132,138.8,-34.9
5133,138.8,-34.8
5134,138.8,-34.9
5136,138.7,-34.9
5157,138.6,-35.1
5158,138.5,-35.1
5159,138.6,-35.1
5160,138.5,-35.1
5161,138.5,-35.1
5162,138.6,-35.1
5163,138.6,-35.1
5164,138.5,-35.1
5165,138.5,-35.1
5166,138.5,-35.1
5167,138.5,-35.2
5168,138.5,-35.1
5169,138.5,-35.2
5170,138.5,-35.2
5171,138.6,-35.2
5172,138.6,-35.3
5173,138.5,-35.3
5174,138.5,-35.3
5201,138.7,-35.2
5202,138.5,-35.4
5203,138.4,-35.5
5204,138.3,-35.6
5210,138.7,-35.4
5211,138.5,-35.5
5212,138.7,-35.5
5213,138.7,-35.5
5214,138.8,-35.5
5231,138.8,-34.8
5232,138.8,-34.9
5253,139.3,-35.1
5254,139.5,-35.1
5350,138.8,-34.6
5351,138.9,-34.6
5352,138.9,-34.5
5360,138.9,-34.4
5371,138.8,-34.5
5372,138.8,-34.4
5400,138.7,-34.5
5415,138.7,-33.9
5431,138.9,-32.2
5432,138.5,-32.2
5451,138.6,-34.1
5452,138.7,-34
5453,138.6,-33.8
5454,138.6,-33.5
5455,138.6,-33.7
5460,138.5,-34.3
5461,138.4,-34.1
5462,138.4,-33.9
5464,138.4,-33.7
5470,138.5,-33.6
5471,138.4,-33.5
5472,138.4,-33.4
5473,138.4,-33.3
5581,137.7,-34.8
5582,137.7,-34.9
5583,137.7,-35.1
5600,137.3,-33
5601,137.1,-32.9
5602,136.9,-33.5
5603,136.5,-33.8
5604,136.3,-34
5605,136.1,-34.4
5606,135.7,-34.8
5607,134.7,-33.2
5608,137.5,-33
5609,137.5,-33
5950,138.5,-34.9
2000,151.2,-33.9
2007,151.2,-33.9
2008,151.2,-33.9
2010,151.2,-33.9
2011,151.2,-33.9
2060,151.2,-33.8
2061,151.2,-33.8
2527,150.8,-34.6
2529,150.8,-34.6
2533,150.8,-34.6
2534,150.8,-34.7
2535,150.7,-34.8
2536,150.1,-35.7
2537,149.9,-35.9
2538,150.2,-34.9
2539,150.5,-35.4
2540,150.6,-34.9
2541,150.5,-35
2545,149.8,-36.1
2546,150.1,-36.2
2548,149.9,-36.9
2549,149.9,-37
2550,149.7,-36.7
2551,149.8,-37.3
2555,150.8,-33.8
2556,150.9,-33.7
2557,150.8,-34
4709,148.4,-23.1
4357,151.1,-28
4385,151.1,-28.9
4390,150.3,-28.2
4405,150.9,-27.3
4406,150.1,-27.5
4408,151.4,-26.9
4410,151.1,-26.7
4411,150.8,-27
4412,150.8,-26.8
4413,150.6,-26.4
4415,150.2,-26.6
4416,149.8,-27
4417,149.1,-27.3
4418,150.1,-26.3
4419,149.8,-26.1
4420,149.5,-25.4
4421,150.4,-27.3
4422,149.7,-27.7
4423,149.5,-27.4
4424,150,-26.6
4425,149.8,-26.6
4426,149.6,-26.5
4427,149.4,-26.8
